symbol,count,probability
ча,1828,0.0024618368
ои,1808,0.0024349021
еб,1787,0.0024066206
св,1755,0.0023635250
ож,1753,0.0023608315
ьн,1748,0.0023540978
сп,1744,0.0023487108
уд,1737,0.0023392837
ян,1727,0.0023258163
ее,1672,0.0022517457
ят,1668,0.0022463588
ии,1644,0.0022140370
ек,1595,0.0021480469
ьс,1588,0.0021386197
ия,1584,0.0021332328
ус,1568,0.0021116850
ез,1548,0.0020847502
ио,1545,0.0020807100
ши,1538,0.0020712828
яс,1535,0.0020672426
мн,1515,0.0020403079
ля,1507,0.0020295340
их,1494,0.0020120264
дн,1494,0.0020120264
кр,1491,0.0020079862
ич,1484,0.0019985590
ьк,1474,0.0019850916
зн,1472,0.0019823981
ье,1441,0.0019406493
ду,1436,0.0019339156
вн,1429,0.0019244884
ут,1396,0.0018800461
ры,1394,0.0018773526
ео,1390,0.0018719656
ту,1384,0.0018638852
са,1369,0.0018436841
ый,1368,0.0018423374
яз,1363,0.0018356037
ым,1358,0.0018288700
си,1336,0.0017992418
ку,1335,0.0017978950
гл,1304,0.0017561462
ты,1302,0.0017534527
йс,1288,0.0017345984
чи,1277,0.0017197843
уж,1268,0.0017076636
еч,1260,0.0016968897
ул,1249,0.0016820756
ша,1242,0.0016726484
ыв,1242,0.0016726484
ае,1238,0.0016672615
тн,1215,0.0016362865
оз,1208,0.0016268593
лу,1202,0.0016187789
уг,1200,0.0016160854
нд,1198,0.0016133920
яв,1182,0.0015918442
ув,1167,0.0015716431
аш,1164,0.0015676029
ий,1140,0.0015352812
жа,1133,0.0015258540
аб,1133,0.0015258540
лк,1113,0.0014989192
аи,1112,0.0014975725
тс,1108,0.0014921856
па,1101,0.0014827584
ще,1092,0.0014706377
ук,1091,0.0014692910
ош,1090,0.0014679443
ум,1090,0.0014679443
еи,1087,0.0014639041
ач,1081,0.0014558236
жи,1066,0.0014356226
ех,1063,0.0014315823
бу,1062,0.0014302356
гр,1060,0.0014275421
ао,1059,0.0014261954
аг,1037,0.0013965672
иб,1037,0.0013965672
аж,1037,0.0013965672
ые,1034,0.0013925270
сн,1019,0.0013723259
еж,1018,0.0013709791
жн,1010,0.0013602052
уп,1007,0.0013561650
иц,1006,0.0013548183
уч,1003,0.0013507781
вл,988,0.0013305770
лы,987,0.0013292303
ыс,975,0.0013130694
ах,973,0.0013103759
бр,973,0.0013103759
см,960,0.0012928683
ьв,951,0.0012807477
яд,949,0.0012780542
ир,944,0.0012713205
ря,933,0.0012565064
вш,930,0.0012524662
ба,924,0.0012443858
лю,918,0.0012363054
иг,914,0.0012309184
ял,912,0.0012282249
нс,901,0.0012134108
сс,897,0.0012080239
гд,897,0.0012080239
ых,891,0.0011999434
дв,863,0.0011622348
лн,860,0.0011581946
ун,857,0.0011541543
йн,854,0.0011501141
ую,852,0.0011474207
ха,849,0.0011433804
нь,840,0.0011312598
мп,838,0.0011285663
су,828,0.0011150990
ьи,818,0.0011016316
це,816,0.0010989381
рь,815,0.0010975914
як,807,0.0010868175
яп,804,0.0010827772
яи,804,0.0010827772
га,794,0.0010693099
оя,783,0.0010544957
ьп,775,0.0010437218
лп,774,0.0010423751
вп,771,0.0010383349
мс,763,0.0010275610
ву,730,0.0009831186
рн,727,0.0009790784
уз,726,0.0009777317
зь,715,0.0009629176
пи,710,0.0009561839
зв,704,0.0009481035
ур,698,0.0009400230
аю,695,0.0009359828
уш,693,0.0009332893
бл,690,0.0009292491
уб,680,0.0009157817
вр,679,0.0009144350
зд,674,0.0009077013
ги,673,0.0009063546
йп,669,0.0009009676
ыт,666,0.0008969274
еш,661,0.0008901937
ын,658,0.0008861535
би,653,0.0008794198
лв,649,0.0008740329
ьо,648,0.0008726861
яо,647,0.0008713394
ох,644,0.0008672992
мы,638,0.0008592188
мв,634,0.0008538318
ай,634,0.0008538318
пь,628,0.0008457514
гу,627,0.0008444046
жд,617,0.0008309373
йд,609,0.0008201634
дл,606,0.0008161231
нт,602,0.0008107362
ям,593,0.0007986156
ещ,592,0.0007972688
ыб,591,0.0007959221
щи,582,0.0007838014
вк,581,0.0007824547
