symbol,count,probability
зю,186,0.0001046916
яю,185,0.0001041287
кс,182,0.0001024402
ш␠,182,0.0001024402
ьи,181,0.0001018773
юш,181,0.0001018773
бъ,178,0.0001001887
ьб,176,0.0000990630
йл,171,0.0000962487
йш,167,0.0000939973
тт,166,0.0000934344
ъя,161,0.0000906201
бс,157,0.0000883687
рч,156,0.0000878059
эл,153,0.0000861173
жк,153,0.0000861173
оц,152,0.0000855544
хр,151,0.0000849916
фу,150,0.0000844287
гк,149,0.0000838658
сш,148,0.0000833030
иа,145,0.0000816144
уа,145,0.0000816144
нр,143,0.0000804887
дп,143,0.0000804887
дм,142,0.0000799258
ьц,141,0.0000793630
лл,141,0.0000793630
ац,139,0.0000782373
мл,136,0.0000765487
яе,135,0.0000759858
тп,131,0.0000737344
рц,131,0.0000737344
щу,129,0.0000726087
хл,129,0.0000726087
чо,129,0.0000726087
фл,129,0.0000726087
рл,128,0.0000720458
уй,123,0.0000692315
бв,122,0.0000686687
жб,122,0.0000686687
уя,121,0.0000681058
пк,116,0.0000652915
бх,112,0.0000630401
ьт,112,0.0000630401
␠щ,112,0.0000630401
тю,109,0.0000613515
оу,107,0.0000602258
мк,107,0.0000602258
гс,107,0.0000602258
ьо,107,0.0000602258
йк,106,0.0000596629
еу,106,0.0000596629
фо,105,0.0000591001
пн,99,0.0000557229
жч,99,0.0000557229
жо,99,0.0000557229
йч,98,0.0000551601
юч,96,0.0000540344
дю,96,0.0000540344
юл,95,0.0000534715
юр,94,0.0000529087
мр,90,0.0000506572
ыз,90,0.0000506572
рщ,89,0.0000500944
дх,89,0.0000500944
лт,89,0.0000500944
пп,88,0.0000495315
рп,87,0.0000489686
мг,87,0.0000489686
гв,86,0.0000484058
хс,86,0.0000484058
сб,86,0.0000484058
ьч,86,0.0000484058
ьд,86,0.0000484058
юн,85,0.0000478429
эс,85,0.0000478429
бь,84,0.0000472801
п␠,81,0.0000455915
␠ю,80,0.0000450286
хм,79,0.0000444658
яр,76,0.0000427772
сз,76,0.0000427772
эк,75,0.0000422144
вх,75,0.0000422144
вч,72,0.0000405258
щн,70,0.0000394001
яц,70,0.0000394001
дд,68,0.0000382743
рз,67,0.0000377115
бм,66,0.0000371486
пт,66,0.0000371486
чл,66,0.0000371486
ьг,66,0.0000371486
йм,65,0.0000365858
шп,65,0.0000365858
дб,64,0.0000360229
мю,64,0.0000360229
жь,63,0.0000354601
тъ,63,0.0000354601
йц,62,0.0000348972
юю,62,0.0000348972
пч,62,0.0000348972
вв,61,0.0000343343
эн,57,0.0000320829
мь,56,0.0000315200
жю,56,0.0000315200
хе,55,0.0000309572
яй,55,0.0000309572
юц,54,0.0000303943
вг,54,0.0000303943
уо,52,0.0000292686
тм,52,0.0000292686
еа,52,0.0000292686
кк,51,0.0000287058
юм,51,0.0000287058
яб,51,0.0000287058
дч,49,0.0000275800
гч,48,0.0000270172
сц,48,0.0000270172
яп,48,0.0000270172
мц,48,0.0000270172
иф,47,0.0000264543
эр,47,0.0000264543
нш,46,0.0000258915
пф,46,0.0000258915
юз,45,0.0000253286
оэ,44,0.0000247658
мч,42,0.0000236400
ыж,42,0.0000236400
рф,41,0.0000230772
тб,40,0.0000225143
лб,40,0.0000225143
уэ,38,0.0000213886
хт,38,0.0000213886
щь,38,0.0000213886
бд,37,0.0000208257
мб,36,0.0000202629
бч,36,0.0000202629
чр,35,0.0000197000
тщ,35,0.0000197000
мм,34,0.0000191372
съ,32,0.0000180115
шв,31,0.0000174486
нж,30,0.0000168857
йр,30,0.0000168857
кч,30,0.0000168857
цв,29,0.0000163229
жс,29,0.0000163229
зт,27,0.0000151972
жг,27,0.0000151972
кж,27,0.0000151972
рр,27,0.0000151972
зч,26,0.0000146343
шм,25,0.0000140715
сж,25,0.0000140715
эп,25,0.0000140715
зз,24,0.0000135086
э␠,24,0.0000135086
зъ,23,0.0000129457
фы,23,0.0000129457
ыи,23,0.0000129457
въ,23,0.0000129457
жж,23,0.0000129457
тх,22,0.0000123829
сф,22,0.0000123829
яш,22,0.0000123829
пц,21,0.0000118200
мт,21,0.0000118200
нз,21,0.0000118200
нб,20,0.0000112572
яи,20,0.0000112572
вб,20,0.0000112572
еф,19,0.0000106943
сг,19,0.0000106943
фт,19,0.0000106943
нв,19,0.0000106943
кз,19,0.0000106943
юк,18,0.0000101314
вц,18,0.0000101314
нф,18,0.0000101314
ъ␠,17,0.0000095686
мф,16,0.0000090057
юх,16,0.0000090057
фс,16,0.0000090057
␠й,16,0.0000090057
цн,16,0.0000090057
уц,16,0.0000090057
зш,15,0.0000084429
жм,15,0.0000084429
йо,15,0.0000084429
уф,15,0.0000084429
пс,15,0.0000084429
цг,15,0.0000084429
нп,15,0.0000084429
уи,14,0.0000078800
бг,14,0.0000078800
пш,14,0.0000078800
ыц,13,0.0000073172
кд,13,0.0000073172
щ␠,13,0.0000073172
дж,13,0.0000073172
тг,13,0.0000073172
эм,12,0.0000067543
эй,12,0.0000067543
тф,12,0.0000067543
тз,12,0.0000067543
бц,12,0.0000067543
кю,11,0.0000061914
ао,11,0.0000061914
кц,11,0.0000061914
фь,11,0.0000061914
бт,11,0.0000061914
чм,11,0.0000061914
хш,11,0.0000061914
нх,11,0.0000061914
эг,10,0.0000056286
ыу,10,0.0000056286
бю,10,0.0000056286
мш,10,0.0000056286
ьщ,10,0.0000056286
йе,9,0.0000050657
эз,9,0.0000050657
юж,9,0.0000050657
ьв,9,0.0000050657
